"pagina","texto","error"
292,"282 RONDAIES MALLORQUINES

Feia una fosca negre, ben negre, que la poríen
taiar a espasades.

. Mestre Nadal no veia aont posava es peus.

Té la mala sort de topar a un fondal, i pafa-
plum e-hi cau dedins.

Sa dona i es fiis, aquell vespre de sa clavegue-
ra, veent que no compareixía, cuidaren a caure
morts cerca qui cerca, i tot va esser debades.

—Serà caigut a mar o qualque moraco el se 'n
haurà duit, digueren.

El donaren per mort, i no hi pensaren pus, en
no esser per comanar-lo a Deu i pregar per sa
seua animeta.

Com vengué es Juny, entre Sant Juan i Sant
Pere, sa mestressa i ets al'lots se 'n anaren un
diumenge 's cap-vespre devers l Horta a tastar
ses lletugues d' ensiam tendres.

Ets al'lots n' atinen una de ben revenguda, i li
peguen tirada.

éQue me 'n direu2

Ell amb sa lletuga s'alça un pa de terra com
una barcella: se ta un clot ben fondo, i dedins m'
hi troben son pare, mestre Nadal de sa placeta
del Socós en persona, que, lo meteix que si ha-
gués dormit i hagués acabada sa son, pega revin-
glada i surt, més sà que un gra d' ai i més etxere-
vit que unes castanyetes.

Dona i al'lots s' aterraren per ell botant i cri-
dant com a locos de s' alegría, i icap a ca-seua s'
ha ditl :

l encara deuen botar i cridar, si no se son atu-
rats.

Torre Nova, Decembre de 1897.
",NA
293,"EC ai a Ei Dl El El
AMICS DE BARRET l AMICS VERS Y
les
Au era un homo que si volía un quern d'un-
— ces, en tenía quatre, manetjava es diners a

palades, i només tenía un tii, que nomía Andreu.

Com aqueix fii mai anava butxaques buides, no
hu volgueu sebre si molts li teien de l amic.

Son pare sempre li deia:

—jAlerta, Andreu, an ets amics de barretl iAler-
ta an es qui t:vel'len més sa bossa que s' amistat
coralt

—No hu cregueu, mon pare, deía n'Andreu,
que no hu síen amics meus de cor tots aqueis que
fan tan de cas de mí. Vos sou un poc massa mal
pensat de vegadesl

—Andreu, deia son pare, n' he vistes massa per
fiar-me de sa gent. Com tu seràs de sa meua edat,
seràs com jo.

—iCa, mon parel ino hu cregueul deía n' An-
dreu. iNo 'n mancaría altre que tants d'amics com

(1) La 'm contaren mu mare, al cel sia ella, l' amo Antoni Mascaró,
al cel sía ell, i na Rafela Calona de So 'n Servera.

di
",NA
294,"284 RONDAIES MALLORQUINES
tenc, fossen tots amics de barretl iJo les tenc per
amics de bon de veresi.—, l

— No res, arribà a dir son pare un día. Les hem
de ter ses proves an aqueis amics teus per un gust,
per un desengàn teu.

—Vaja idò, diu n' Andreu, per un desengàn
vostro, facem-los ses proves.

-- Mira, diu son pare. Vet-aquí quina prova les
farem. Matarem un anyell, el posam dins un sac,
el te carregues a s' esquena en venir es vespre
que ja tarà fosca negra, i te 'n vas a ca-aqueis
amics, un després s' altre, toques a ses portes, t'

obriràn, crides s' amic, i li dius amb tot secret:—
Homo sant de Deu, he tenguda sa desgracia de
/ fer una mort, i duc es mort dins aquest sac: deixa
'l-me enterrar dins es vostro corral a fí de que no
se sapia ni se puga sebre que som estat jo es de-
Veute m linquent.—Ara vourem quants n'hi haurà que te
diràn que sí que pots enterrar es cmorto dins es seu
corrall

A n' Andreu li vengué molt de-nou aquella idea
de son pare i s' exclamà:

—iVaja quines idees que teniul Així meteix es
voldre-los posar es peu an es coll.

—Es voldre-los provar si son amics de barret,
diu son pare.

Sobre tot, ell son pare agaia un anyell ben gros,

es més revengut de sa guarda, li acoren sa guina-

se veta, li teu tosca negre, n' Andreu sa carrega es

i sac a s' esquena, i ja es partit a fer sa passada per
ca 's seus amics.

Arriba a ca 'S primer, i itoc-toc a ses portesi

—e Qui esP criden de dedins.

—Un criat vostro, diu ell.
",NA
295,"AMICS DE BARRET l AMICS VERS 285
Obrin i va esser son pare d' aquell amic.
—eQue no hi es es vostro fii diu n' Andreu.
—Si-fa diu aquell homo.
—eQue no I poríeu fer sortir2. ique li hauría de
dir una paraulal diu n' Andreu.
—iAixí meteixl diu aquell.
Se 'n entra per endins, i al punt surt s' amic de
n' Andreu. Aquest li diu:
—é Que mos sent ningú
—No diu aquell. éQue hi ha res de nouP
—Maldement no hi hagués tant, diu n' Andreu. ,
ijo 't tenc per un bon amicl diu n' Andreu.
—lI pots ben creure que hu som, diu aquell. éPe-
rò que es que 't passa
—Homo, diu n' Andreu, has de creure i pensar
que hem tenguda sa desgracia jo i mon pare de
fer una mort...
—iQue me diusP s' exclama aquell, aborro-
nant-se.
—iLo que sentsi diu n' Andreu. jNo i duc es
mort dins aqueix sacl——
—ePerò que serà això s' exclama aquell fora
de sí, i que ja no sabía aont s' havía de posar.
—Sa questió, diu n' Andreu es que contii de tú
per aidar-me a que no m' hi trobin amb aquesta
"" mort.
—éJjos diu aquell amic. iPobre de míl él que hi
puc fer jo, tiet2
—eQue hi pots ters diu n' Andreu. Si tu 'm dei-
xaves enterrar aqueix mort dins es vostro corral,
i no hu diguesses a ningú, mai per mai poríen afi-
nar qui es qui ha teta aqueixa mort.
—jPerò homol diu aquell. él si per. una casuali-
dat qualcú mos veia ter sa trescalamena, i mos
a
",NA
296,"286 RONDAIES MALLORQUINES /
acuava a sa Justicia i venguessen i desenterrassen
es mort iVeiès an a qui donarien sa culpa més
que a mi o a mon parell isobre tot, Andreul jo
sensa permís de mon pare no puc fer una tal cosa.
l ècreus tú que mon pare hu vulga2 ijJo no tenc
pit per demanar-li una tal cosal

—eDe manera, diu n' Andreu, que no 'm pots
fer es favors

—Favors d' aqueis, Andreu, diu aquell, jo no
les te puc ter. jEs massa gros lo que 'm demanesi
iNo voldría que t' otenguesses, Andreul

—iN' haguem parlat proul diu n' Andreu. il fet
a comptes que no t' he dit rest iNo res, bona nit
que Deu mos dot

—jAménl diu aquell.

N' Andreu surt, aquell amic li dona ses portes
p'ets uis, i n' Andreu ja li ha copat cap a ca-un
altre amic, i l homo ja començava a trampoletjar
sobre s' amistat d' aquella partida d' amics seus.

Si aqueix, pensava ell, que jo el considerava S'
amic més gros meu, m' ha teta aquesta eque faràn
ets altres No hu sé que mos farem si mon pare
tendrà raó... il lo bo es que ni li ha ocorregut de-
manar-me si es mort era animal o personal ijCom
ha sentit de mort, ja ha donat per cert que era una
personal iSobre totl iSobre totl

Amb això arriba a ca-s' altre amic que volía pro-
var, i itot-toci a ses portes.

—ecQui es2 criden de dedins.

—iUn criat vostrol diu n' Andreu.

Obrin, i va esser sa mare de s' amic.

—eQue hi sería es vostro fii2 diu n' Andreu.

—Si-ta, diu sa mare.

—eEl voldríeu ter sortirè que li hauría de dir
una paraulal diu n' Andreu.
",NA
297,"AMICS DE BARRET l AMICS VERS 287

—iAra le hi dirél diu sa mare.

Així va esser. Sa mare se 'n va per allà dins, i
al punt surt s' amic.

—iORl éque ets tú, AndreuP li diu com el veu.

—iSi, homol diu n' Andreu.

—l éque hi ha res de-nou2 diu aquell.

—iMaldement no hi hagués tantl diu n' Andreu,
baixant sa veu. cQue mos pot sentir ningú2

—iNo hu crecl diu s' amic, però per lo que pu-
ga esser, parlem petit.

— Sabs que es de gros lo que 'm passa diu n' An-
dreu.

—Però per que no parles clarè diu aquell.

. —jAmolla-lit

—Idò, diu n' Andreu, jo i mon pare hem tengu-
sa desgracia de fer una mort...

-—EQue me diusP s' exclama aquell, escarnutant-
se tot ell. a

—Lo que sents, diu n' Andreu. No i duc es
mort dins aqueix sac, perque he pensat que, per
que mai sa Justicia puga aclarir que som estat nol-
tros que hem feta aqueixa mort, lo més avengut
sería que enterràssem es cos dins es corral d' una /
altre casa, i he pensat en tú, Si el me deixaríes en-
terrar dins es corral vostro.

Com aquell amic sentí tals comendacions, li
sortí molt mal-aixamús, i en rudes li va dir que no

 — i que no, i que tengués la bondat d' anar-se 'n més l
que depressa d' aquella casa, perque tampoc no
havía d' anar a comprometre ets amics de aquella
manera.

N'Andreu se torna carregar es sac, i—iBona
nitl iBona nitl—ja li va haver copat cap a ca-un
altre amic, i es seu cap ja cloquetjava tort ferm, i
deia amb ell meteix:

rs
",NA
298,"288 RONDAIES MALLORQUINES

—iSobre totl iSobre totl i Ell mon pare tendrà
raól iNo hu crec que n' hi haja cap des meus amics
que vagen de pop, que 'm vulguen fer es favorl
iAl manco me demanassen quina classe de mort
es que hem fetat iPero càl ell en sentir de mort,
perden l' aluiasçi no volen sebre qui l'ha encalça-
da, lo que volen es llevar-me de devant, que me
'n vaja més lluny que ses cabrelles des sol.

Amb això arriba a ca-s' amic que teia tres, i
itoc-toct a ses portes.

Aquí va esser s' amic meteix qui obrí. N' An-

, dreu li va dir lo que feia el cas, com an aquells
altres dos amics, i se 'n va dur s' aumut p' es cap,
vui dir, quant aquest altre amic sentí de que n' An-
dreu i son pare havíen teta una mort i de si els-e
deixaría enterrar es cos dins es corral, aquell amic
envià n' Andreu allà ont no hi plou, dient-li que
allò no eren coses de demanar a cap amic, i que

l se 'n anàs més que depressa d' aquella casa.

N' Andreu, poreu fer comptes, se 'n anà ben
escoat, ben armús i ben desenganat de tots aquells
amics.

: No n' anà a veure pus, perque va dir ell:

—Si aqueis tres, que eren es més acostats i de
qui confiava més, me son sortits d' aqueixa mane-
ra eque han de ter ets altresP iMe treuràn defora
amb caixes destrempadesi I tins seràn capaces d'

anar a donar part a sa Justicia de que jo i mon
pare hem feta una mort.

Com arribà n' Andreu a ca-seua, que son pare
el va veure tan mostii i alís, i amb So sac a s' es-
quena, li diu:

—e Vol dir el tornes an es morfP

—il tant com el torni diu n' Andreu.
",NA
299,"AMICS DE BARRET I AMICS VERS 289 l

—l éque tan-meteix, diu son pare, n'hi ha ha-
gut cap que el t haja deixat enterrar dins es seu
corralP l

—Cap, diu n' Andreu. Han dit que allò era com-
prometre-los i que no era cosa de demanar a cap
amic.

—dE-hu veus2 diu son pare. çE-hu veus com
tots aqueis amics teus son amics de barrete No
res, ara que hem fetes ses proves an aqueis amics
teus, are les farem a un mig amic meu, que està a
tal carrer i a tal casa. Ves-te ""n-hi amb so sac,
toques a ses portes, el demanes, li dius de part
meua amb tot secret lo que has dit an aqueis tres
amics teus, i veurem quin sò ta.

N' Andreu e-hu ta així, se torna carregar es sac,
i cap a ca-aquell homo, mig amic de son pare.

E-hi arriba, i jtoc-toci a ses portes.

—e Qui esP diuen de dedins.

—iUn criat vostrol tespón n' Andreu.

Obrin ses portes, i va esser aquell homo meteix.

—iBon vesprel diu n' Andreu.

—ijBo serà, si Deu ho voll diu aquell homo. Í
éque hi ha res de-nou an aquesta horaP diu aquell
homo, veient n' Andreu amb aquell sac a s' es-
quena.

—éSi hi ha de-nouP diu n' Andreu. iMassa que.
hi hal E-hus ho diré amb poques paraules: jo i mon
pare hem tenguda sa desgracia de fer una mort, i
per veure si no mos hi trobaràn, mon pare m' en-
vía amb so mort dins aqueix sac veiam Si vos el /
me voldríeu deixar enterrar dins es vostro corral.

—Ets amics, Andreu, son per quant s' han mes-
ter, diu aquell homo. Basta que ton pare t' envii

Tom. lII—19
É
",NA
300,"290 RONDAIES MALLORQUINES
i me demàn això per jo accedir-vos-ho. il lo millor
es sortir-ne ara meteixi... Espera tancarem en-fort
per que ningú mos entr i no mos trobassen amb l
sa fusta amb ses mans. ,

Aquell homo tanca ses portes en-fort, i ja es
partit cap an es corral amb una aixada per comen-
çar sa gaveta per soterrar-hi aquell mort de dins
es sac. :

Com n' Andreu va veure allò, tot esglaiat de sa
finor d' amistança d' aquell homo envés de son
pare i d' ell, s' exclama: :

—L' amo, tirau s' aixada. Gracies a Deu sa
mort que jo i mon pare hem teta, no es de cap
persona, si no d' un anyell nostro. Es que jo creia

tenir molts d' amics, i mon pare me deia que no-
més e-hu eren de nom, i m'ha dit: Matem un
anyell, el posarem dins un sac, es vespre te 'n vàs
an aqueis amics teus a dir-los que has tenguda
desgracia de fer una mort i si te voldrien deixar
enterrar es mort dins es seu corral, veiam Si 'n
trobaràs cap que 't diga que sí. E-hu hem fet d'
aquesta manera, i cap n'hi ha hagut des meus
amics que m' haja volgut ter es tavor. Llavò mon
pare m' ha enviat a vos a veure si vos el me vol--—
dríeu ter. Ara he tocat amb ses mans que tots ets
meus amics son amics de barret, just de nom, i
que vos sou un amic ver, de bon de veres de mon
pare i meu.

Aquell homo va dir:

—Si jo no hagués fet lo que he tet, ton pare me
poría escupir a sa cara. Ets amics han d' esser
amics, jno 'n mancaría altrel

—Teniu raó, diu n' Andrèu. Així hauría d' esser
el mon, però no hu esl
",NA
301,": AMICS DE BARRET I AMICS VERS 291

N' Andreu se despedí d' aquell homo, i se'n
torna a ca-seua, i conta es pas a son pare, que li
va dir:

—qdE-hu veus, Andreu, si aqueix mig amic meu
val més que tots es que tú te creies tenirP

-—Es ver, mon pare, diu n' Andreu. Sa raó vos
vessa par demunt ses espal'les.

N' Andreu no se 'n poría avenir de que Son pare
digués que no més era mig amic seu aquell homo
que, com ell e-hi anà amb so mort a veure Si le hi
voldria deixar enterrar dins es corral, havía dit que
sí. N' Andreu trobava que allò era una feta no d'
un mig amic, sino d' un amic ben sencer, fins que
son pare li va dir: ,

—Per que veges que es així com dic, te contaré
lo que li succeí a mon pare, que Deu tenga, amb
un amic seu que tenía a Ciutat, i tú meteix diràs
que es fets que passaren entre ells dos demostren
una amistat més grossa encara que sa demostrada
per aqueix amo an-e quí tú ets anat a veure Si vo-
lía que enterrasses es mort dins es seu corral.

l —eQue vol dire s' exclama n' Andreu. él es un
fet des meu padrí, de vostron pareP

— Prou que hu es, diu son pare. Idò mon pare,
que Deu tenga, tenía un amic a Ciutat, i un día l'
envía a demanar. Mon pare s' hi espitxa, i va
esser que aquell amic s' havía de casar, i volía que
mon pare tos a ses seues noces. Mon pare encara
era tadrí. Lo primer que va ter aquell amic, va
esser menar mon pare a veure sa seua al'lota, i
has de creure i pensar que a mon pare aquella al'
lota li agradà tant i tant que 'n va romandre terit-l'
a, enamoradíssim. Com tenía es cor terit tan fort,
sa ferida per força se va haver de demostrar: vui

dd
",NA
302,"292 RONDAIES MALLORQUINES :
dir, que tot-d' una ja 's va conéixer que el pobre
tenía cosa, per més que malevetjava amagar-ho.
L' homo se posà trist i trist, i no menjava ni bevia,
i se va haver de jeure. Criden es metge, es metge
el polsa, l espluga fort, i arriba a dir:—Com a
tenir res espenyat ni fil de febre no li trob res, lo
que sí li trob una passió de cor molt torta, que si
no li espassa, està llest perque es cor té mals
arrambatges. Es metge se 'n va, i aquell amic se
4 tanca dins sa cambra tot sol amb mon pare, i li
diu:
—éA veure que es que tensP iParla clar Ja has
sentit es metge.
—l ique he de tenire deia mon pare. Com a te-
nir no tenc. l
—No, diu aquell ciutadà: aquí hi ha cosa. Tú
vengueres de Manacor i t' entregares aquí sa i bò,
i Cop en sec t' ets posat malalt, i es metge diu que
es una passió de cor. eQuina es aqueixa passió de
cor2
Mon pare no hu gosava a dir, però tant el pat-
xucà aquell amic, que a la fí mon pare li parla clar,
i li diu: :
—Jo havía promés de no dir-t"" ho, però allà ont
tú t ets empenyat tan fort a fer-m' ho dir, t ho
diré: es que sa teua al'lota m' ha agradat tant i
tant des primer moment que la 'm mostrares, que
en vaig romandre enamorat. Però com ella ha de
esser sa teua dona, i per lo meteix mai per mai pot
esser sa meua, això m' acluca es cor, el m' escla-
ta, i crec que dins poc díes hauré acabat ets alens.
Ja hu sabs ara, amic meu, que es lo que tenc. No
hu digues a ningú, i deixa 'm morir conformat amb
sa voluntat de Deu.
",NA
303,"AMICS DE BARRET l AMICS VERS — 293
Aquell amic ciutadà, com sent allò, deixà mon
pare, i sà tancà dins sa seua cambra i estigué vint E
i quatre hores sensa sortir-ne ni dormir ni menjar.
A 's cap de ses vint i quatre hores surt, i se pre-
senta a mon pare, i li diu:
—AÀmic, venc a salvar-te sa vida.
— çComP diu mon pare.
—iComP diu aquell: desde ara, te don sa meua
al'lota, si ella hi consent per que t hi casis. Jo ja
'n trobaré una altre. Si tú sensa aqueixa al'lota t'
has de morir de pena, jo com amic teu de ver, no
hi puc consentir. Jo ja en trobaré d' altres que me
agradaràn tant com aqueixa...
Quant mon pare sentí allò, creia que aquel amic
anava de berbes, i no 'l creia, però aviat va com-
prendre que anava de bo.
eQue me 'n direu2 Ell tot dos se 'n van a ca
aquella aldota, s amic de Ciutat la crida de part i
li explica es misteri, aquella al'lota sà mira mon c/
pare de dalt a baix, no li teu cap mal averany sino
que el trobà ben plaent i agradòs, sos pares s' en-
teraren de quines egos venía mon pare, i saberen
que era un d' ets amos bons de Manacor, i que si
havía de mester un quern d' unces, en tenía qua-
tre, i varen dir tinis-tinis a Sa seua fia:
—iFietal isi t agrada, pren-lol
l aquella al'lota dona es Sí a mon pare i se ca-
saren. Aqueixa al'lota va esser mu mare, al cel sía
ella també i tots los morts.
cE-hu veus, idò, com mon pare i aqueix ciutadà
hu eren amics vertadersP dE-hu veus, com aqueix
ciutadà donà a mon pare una prova d' amistat molt
més grossa que no 8a que mos ha donada aqueix
amo an-e qui jo t he enviat a veure si te voldría
ul
",NA
304,"294 RONDAIES MALLORQUINES
deixar enterrar es /moré dins es seu corral2 iFigu-
ra 't si hu es gros, un homo que està per a casar-
se amb una al'lota, afluixar-se 'n per que s' hi casi
un altre, just per que aqueix faça es seu gustl

—No hi ha remei, diu n' Andreu. Sa raó vos
vessa per dalt ses espal-les. Es molt més gros lo
que va fer aqueix ciutadà p' es padrí que no lo
que ha fet aquell amo per noltros.

—Però ature 't, Andreu, diu son pare, que en-
cara no he acabat. Encara en veuràs una altre
mostra d' amistat vertadera que se donaren aqueix —
ciutadà i es teu padrí.

—iVeiam que va esserl diu n' Andreu.

—Jo t"" ho diré, diu son pare. Idò has de creure
i pensar i pensar i creure que, casat mon pare amb
aquella ciutadana, se 'n venen a Manacor, i vivíen
amb santa pau i concordia com Jusep i María amb
tota sa baldor que sempre hi ha haguda dins aques-
ta casa per gracia de Deu.

No li anava tant bé an quell amic ciutadà per-
que jisabs quina passada que li succeil Ell que se
creia trobar-ne d' al'lotes tantes com en voldría
per casar-s' hi, que li agradassen, se va enganar
de cap a peus. Bé cercà però no 'n trobà cap que
li entràs per s' ui dret. Moltes en trobava que de
part-detora li teien tec, perque eren ben taiades i
garrides: però, tractades d' aprop, eren esgarrades
d' ànima o patíen d' un detecte o altre, teníen ma-
ganya. Allò li va fer tanta de torça perque no hu
gosava destapar de por que sa seua gent no s' hi
tirassen demunt perque ell meteix per amistat ha-
vía oferida a mon pare s' al'lota que ell havía tria-
da i que tant li agradava per casar-se. Allò comen- .
Çà a roegar-li es cor com un banyarriquer, roega
",NA
305,"AMICS DE BARRET Il AMICS VERS 295
qui roega, i aquell mal cou-covat li va dur una ma-
laltía que cuidà fer cuiro. S' arribà a apedaçar una
mica, però ses coses comencen a dir-li tort i tort,
fins que va romandre casi a 's mig des carrer. Aqui
l homo va dir:

—Me 'n vaig a veure es meu amic de Manacor,
veiam si me porà assistir qualque poc. Estic segur
que per poc que puga, e-hu farà.

Pren es bobiot cap a Manacor, i, com e-hi va
esser, que arribava ja an aqueixa casa, troba dos
homos a 's mig des carrer que 's baraiaven tan
fort, que s' envesteixen amb un guinavet, i un
acora s' arma dins es pit de s' altre que cau sec, i
es qui l havía mort s' afica com un llamp dins una
casa i surt p' es corral que becava a fora vila, i de
d'allà com cent mil dimonis. Aquell ciutadà, de-
vant aquella teta, va romandre aborronat, sen-
sa sebre que fer-se. Amb això compareix gent i
gent, i tot-hom:—cQui es qui ha feta aqueixa
mort—cQui seràP—ec Qui no seràP

Veuen aquell desconegut, aquell pobre ciutadà,
i un diu:

— Ja serà aqueixi

—iNo te 'n fiis que no hu síal diu un altre.

—iNo pot esser negú més que elll diu un ter-
cer.

—iEstigau segurs de que hu esl diu es qui feia
quatre.

—eldò sí que hu es elll s' exclamà tot-hom.

Sobre tot, ell compareix sa Justicia, agafen es
ciutadà, el tanquen, li tormen causa, ell negava
amb tota veritat que fos ell que, hagués feta tal
mort, que era un altre que ell no coneixía i que
era fuit. Es Jutge no s' empatxà de raons, i va
dir:

"".
",NA
306,"296 RONDAIES MALLORQUINES

—No hi ha remei: qui mata, ha de morir. Se
veu clar que aqueix homo ha feta aqueixa mort.
ildò que 'l penginl .

Me posen en capella es pobre ciutadà, que po-
reu fer comptes com se trobava es mesquí. Mon
pare justament no era a Manacor aquells díes, i
arribà es día que havíen de penjar aquell pobre
ciutadanet. Mon pare, sensa sebre que fos aquell
gran amic se 'n hi va a veure-hu, i, com treuen de
sa presó es pobre condamnat a mort cap a la ior-
ca, mon pare el se mira, i veu que es aquell amic
seu de Ciutat. Esbronca p' es mig de sa gent, fins
que va esser devant ell, i li diu tot esglaiat:

—jAmic meul di aont te veigP é Com pots tú ha-
ver feta aquesta mort2 iNo pot esser que l' hages
fetal

—iJo t' ho assegur de que no l' he fetal jE-hu

pug jurar demunt un Sant Cristol va dir plorant
aquell pobre ciutadà. :

l equé fa mon pare2 Se presenta an es Jutge,
qué era allà meteix, i ja li diu:

Sefior Jutge, jaquest homo es innocentl jAquest
homo n' es ben net d' aqueixa mortl jjo'n res-
poncl

—Ai en response diu es Jutge.

—iLi dic que 'n responci diu ell.

—el que 't voldríes posar an seu lloc tanme-
teixP diu es Jutge.

—jAra meteixi diu mon pare.

—Mira, diu es Jutge a mon pare, que a mi no
les m' empaten.

—i Ni a mi tampoci diu mon pare.

—Mira diu es Jutge, que si 't poses an es lloc
d' aquest homo, t haurem de penjar a tú en lloc
d' ell.
",NA
307,"AMICS DE BARRET Il AMICS VERS 297
—No m' importa, diu mon pare. Com jo n' estic
segur de que ell n' es net de tal mort i de que es
ben innocent, no serà capaç vossa senyoría de
fer-me penjar.
—e Que dius que no seré capaç s' exclama es
Jutge, més de mig cremat.
—iE-hu dic i re-dicl s' exclama mon pare, més
encés ja que no es Jutge.
—ilUep voltrosi diu es Jutge an es saig i a sa
demés torça que hi havía. jAgatau aqueix homo,
i cap a la forca per penjar-lol
Aquells agaten mon pare, i icap a la forca tot-
homl
Arriben a la torca, es botxí ja anava a passar
p' es coll es dogal a mon pare, i com en sec sen- 22 P
ten un crit ben esglaiós d' un homo que deia:
—iSenyor Jutgel iNo es cap d' aqueis dos que
va fer aquella mort: la vaig ter jol 3
 Aqueix deia ver, ell era es qui havía feta aque-
lla mort, i, com era tuit i ningú l havía vist amb
s' arma amb ses mans més que aquell pobre ciuta- l
dà, que no ""I coneixia, ningú se sospita d' ell, per-
que tampoc no era cap mal homo, sino que aquell
mort n'hi havía feta una de massa grossa, i ell se
cegà i va pegar una guinavetada tan teresta, que
ell en dret seny i sensa volar-se, mai per mai hau-
ría pegada. Idò bé, aquest homo era allà, i havía
vist i sentit ses raons de mon pare i es Jutge, i se
veia aquell pobre ciutadà, que n'era ben net de
tot, que ""I se 'n duien a la forca, i se veia mon pa-
re, que també n' era ben net de tal mort, i que es
botxí ja li anava a posar es dogal p' es coll per sa
caparrudesa des Jutge que duia s' homonía de que
no les hi empatassen. l aquell homo devant tot
€
ss
",NA
308,"298 RONDAIES MALLORQUINES
això es remordiments li reverditen tan fort i tan
granat, que va dir amb ell meteix:

—iAixò no pot esserl jAixí jo no pug viurel
éQue ha de esser de mí, en presentar-me devant
es Tribunal de Deu, si som causa de que matin
aqueis dos innocentsP jEs a mi que pertoca que
'm penginl

Per aquest motiu fonc que aquell homo pegà

E aquell crit, i sà presenta devant es Jutge, i hu diu
ben clar que es ell i ningú pus qui ha feta aquella
mort.

Es Jutge devant tota aquella cosa va romandre
confús. Com prou se va haver tet cloquetjar es
cap fa posar dins sa presó es ciutadà, mon pare i
aquell homo qui 's contessa reu de tal mort, i S
espitxa a Ciutat a contar an el Rei aquell cas tan
gros que li passava.

El Rei com el sentí i va veure tot s' endiumen-
jat, va tirar aquesta sentencia:

—Amollau-los tots tres: es ciutadà i es qui res-
el — pón per ell perque sé veu que son innocents i per
: s' amistat fina que s' han demostrada, i s' altre, es
qui va fer sa mort, p' es bon cor que ha tengut
de no deixar penjar dos innocents, però que vaja
alerta a tornar treure cap peu des solc, perque li

costarà-es cap i es coll.

Així hu teren, els amollaren tots tres, i mon pa-
re mena aquí es seu amic ciutadà, i li diu:—Aquí
es ca-teua i menja i beu com un Sí senyor, i no
tengues cap mal de cap: mentres jo tenga un bossí
de pa, n' hi haurà mig per tú.

Aquell homonet ja no anà de casar-se, i va viu-
re aquí amb mon pare i muimare, com si fossen
estats germans, fins que se va morir. Jo encara el
",NA
309,"AMICS DE BARRET Il AMICS VERS 299
recort que era un homonet vei que sempre me teia
Xxicotines i me 'n menava a passetjar.
l An això hu dic amics, mon pare i aqueix ciutadà
se pot dir que eren dos amics vers.
—Sí que teniu raó, s' exclamà n' Andreu. Ara
veig que no es: gens bo de trobar un amic que hu
siga d' obres i no just de boca. D' avui endevant
no 'm tiaré pus des qui me diguen que son amics
meus, sino des qui amb ses obres me demostrin
que hu son de cor.
Lo meteix vos dic jo a voltros que me lletgiu.
Es parents preniu-los així com Son, t ara ets
amics cercau-los bons.
iAlerta an ets amics de barretl iFiau-vos-ne tant
com d' unes cases que cauenl
mIBSD Je CE EE0r
7 dd
",NA
310,"A AA LA AA AS AA AA AA AA
EN TONI GARRIGUEL'LO Y
ED ci

LE era i no era una mare que tenía un xinxer

el d'al'lots que no la deixaven viure perque

sempre en tenía quatre o cinc de penjats an es go-
nellons, un que li demanava una cosa i s' altre S'

altre.

N' arribà a estar tan cansada i enutjada que un
dia acaba sa paciencia, i se posa a matar al'lots, i
en va matar fins que en va veure.

Només se 'n salvà un que s' amaga ben amagat
derrera Sa pella, i aquest nomía Toni Garriguel'lo.

Però succeí que, com hagué d' enviar es dinar
an es seu homo, que teia teina an es camp, no ten-
gué qui enviar-hi perque havía morts tots ets al'
lots que tenia.

h —iBona l he tetal s' exclama aquella dona. Í
ara ccom enviaré es dinar an aquell2 jAixí meteix
he fet llargl iEn 'gués deixat un de viu d' aquells

(1) La me contaren n' Antonina Sansó Polla, de Manacor, al cel sía
ella, i donya Catalina Font i Oliver, de Campanet. A Manacor li donen
es nom de En Tonetos.
",NA
311,"EN TONI GARRIGUEL'LO 301

bigarnius mala-vidosos, ara me poría dur es dinar —
an aquelll iSí que me sab greu haver-los escabet-
xats a totsi

Aquí En Toni Garriguel'lo treu es caparrí de
derrera sa pella, i diu tot xelest:

 —No passeu ansia d' això, ma mare, que enca-
ra me teniu a mí.

—iOhl diu sa mare ji es ver que m' éts passat
per maia túl ei com no t' he mort ,

—éi Com m' havíeu de matar, diu En Toni Ga-
rriguel'lo, si me som amagat derrera aqueixa pella2

—iSí que n: estic ben contental diu sa mare, de
no haver-te mort. No res, devalla, i ijas es dinarl
Du 'l a ton pare, que es a tal punt. Abans d' arri-
bar-hi, trobaràs un hort de tarongers. jAlerta a l
acostar-t' hi a tocar cap taronjal

—No res idò, diu En Toni Garriguel'lo, ara
meteix m' hi esquitx.

Agata Sa barxeta (1) i ja es partit de d' allà cap
aont son pare teia teina.

Abans de arribar-hi troba s' hort de tarongers,
uns tarongers distorjos, que s' esbrancaven de
tantes de taronges com teníen penjades, unes ta-

. TOonges com es dos punys, que feien menjera.

En Toni Garriguel'lo comença a mirar-les-se, i
tant les se mirà, i tantes ganes li vengueren de
tastar aquelles taronges, que 's va ter trons de lo l
que se mare li havía comanat, se 'n entra dins
aquell hort, s aborda a un taronger i jhala a cuir
tarongesi I tantes com en cuía, ja hu poreu creure,
les s' empessolava, iperò amb-e quin gustl

(1) Un senaió o corbella de paumes, més estret de sa boca que des
cul, amb una tapa en forma d' esquena de barca.

Le
LJ
",NA
